# WINERED HIRES-Y-mode default configuration
# order  wmin     wmax   npix  num_eigen
 m184   9564.0   9618.0  3072  6
 m183   9618.0   9671.0  3072  6
 m182   9671.0   9724.0  3072  6
 m181   9724.0   9778.0  3072  6
 m180   9778.0   9832.0  3072  6
 m179   9832.0   9887.0  3072  6
 m178   9887.0   9943.0  3072  6
 m177   9943.0   9999.0  3072  6
 m176   9999.0  10056.0  3072  6
 m175  10056.0  10114.0  3072  6
 m174  10114.0  10172.0  3072  6
 m173  10172.0  10230.0  3072  6
 m172  10230.0  10290.0  3072  6
 m165  10662.0  10727.0  3072  6
 m164  10727.0  10793.0  3072  6
 m163  10793.0  10858.0  3072  6
 m162  10858.0  10927.0  3072  6
 m161  10927.0  10994.0  3072  6
 m160  10994.0  11063.0  3072  6
 m159  11063.0  11131.0  3072  6
